Timestamp,Station Name,Latitude,Longitude,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed,Air Quality Level
2025-04-24 07:00:00,"Ninh Bình/Cúc Phương, Đông Phong, Nho Quan - KTTV - Trạm cảm biến, Vietnam",20.320741,105.745489,66,66,40.0,100.0,11.0,1.0,2.0,27.0,83.0,1008.0,3.0,Trung bình
2025-05-06 10:00:00,"Thanh Hoá/UBND P. Lam Sơn, TX. Bỉm Sơn, Vietnam",19.91053,105.4039,14,14,11.0,5.0,,1.0,22.0,27.4,88.9,1006.2,1.0,Tốt
2025-05-08 10:00:00,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",16.46226,107.596351,17,17,15.0,5.0,5.0,4.0,26.0,34.5,52.5,1005.5,1.5,Tốt
2025-05-08 11:00:00,"Da Nang, Vietnam (TP Đà Nẵng)",16.074,108.217,44,44,30.0,3.0,19.0,,,33.5,62.5,1006.0,3.0,Tốt
2025-04-24 09:00:00,"Gia Lai/Phù Đổng, Thành phố Pleiku - KTTV - Trạm cảm biến, Vietnam",13.968848,108.017617,46,46,45.0,19.0,113.0,5.0,43.0,23.0,86.9,925.6,2.0,Tốt
2025-05-06 20:00:00,"Nha Trang, Vietnam",12.284358,109.192524,40,40,27.0,7.0,12.0,11.0,,30.0,70.0,1008.0,1.2,Tốt
2025-05-08 11:00:00,"Vũng Tàu/Tiểu học Tóc Tiên - TX.Phú Mỹ, Vietnam",10.589853,107.131743,55,33,55.0,2.0,3.0,7.0,4.0,33.5,55.5,1008.0,4.1,Trung bình
2025-05-08 11:00:00,"Vũng Tàu/Ngã tư Giếng nước - Tp.Vũng Tàu, Vietnam",10.367976,107.0844,16,16,11.0,2.0,2.0,7.0,3.0,34.2,60.0,1007.8,3.3,Tốt
2025-05-08 11:00:00,"Hà Nội/TT giao lưu văn hóa phố cổ - Hoàn Kiếm, Vietnam",21.035584,105.852771,68,68,27.0,0.1,22.8,,,33.5,70.5,1003.5,3.0,Trung bình
2025-05-08 12:00:00,"Hà Nội/Chi cục BVMT, Vietnam",21.01525,105.80013,104,104,,0.1,,,,33.0,70.0,1003.0,3.6,Không tốt cho nhóm nhạy cảm
2025-05-08 12:00:00,"Bắc Ninh/UBND_xã Xuân Lâm, Vietnam",21.0243474,106.0172877,129,129,74.0,2.0,,134.0,,33.0,70.0,1003.0,3.6,Không tốt cho nhóm nhạy cảm
2025-05-08 12:00:00,"Hà Nội/UBND xã An Khánh - Hoài Đức, Vietnam",21.002383,105.718038,79,79,27.0,0.1,10.8,,,33.5,68.0,1003.0,3.6,Trung bình
2025-05-08 11:00:00,"Hà Nội/Mầm non Vân Hà – Đông Anh, Vietnam",21.148273,105.913306,81,81,29.0,0.1,5.1,,,33.5,70.5,1003.5,3.0,Trung bình
2025-05-08 12:00:00,"Bắc Ninh/Phù Xá - Văn Môn, Vietnam",21.1638526,105.9235646,11,11,9.0,1.0,,2.0,123.0,33.0,70.0,1003.0,3.6,Tốt
2025-05-08 12:00:00,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",21.593151,105.8431043,82,82,46.0,2.0,,,3.0,33.0,70.0,1003.0,3.6,Trung bình
2025-05-08 12:00:00,"Lạng Sơn/phường Chi Lăng - TP Lạng Sơn, Vietnam",21.843325,106.7506,-,16,9.0,1.0,,19.0,9.0,29.0,78.1,974.5,2.0,Không xác định
2025-05-08 12:00:00,"Viet Tri, Vietnam (Tp Việt Trì)",21.33847,105.3673,54,54,34.0,13.0,19.0,145.0,13.0,33.5,70.5,1003.5,3.0,Trung bình
2025-04-24 07:00:00,"Ninh Bình/Cúc Phương, Đông Phong, Nho Quan - KTTV - Trạm cảm biến, Vietnam",20.320741,105.745489,66,66,40.0,100.0,11.0,1.0,2.0,27.0,83.0,1008.0,3.0,Trung bình
2025-05-06 10:00:00,"Thanh Hoá/UBND P. Lam Sơn, TX. Bỉm Sơn, Vietnam",19.91053,105.4039,14,14,11.0,5.0,,1.0,22.0,27.4,88.9,1006.2,1.0,Tốt
2025-05-08 11:00:00,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",16.46226,107.596351,20,20,16.0,6.0,6.0,4.0,26.0,36.0,50.0,1004.0,3.6,Tốt
2025-05-08 12:00:00,"Da Nang, Vietnam (TP Đà Nẵng)",16.074,108.217,40,40,27.0,3.0,19.0,,,34.0,59.0,1005.0,4.1,Tốt
2025-04-24 09:00:00,"Gia Lai/Phù Đổng, Thành phố Pleiku - KTTV - Trạm cảm biến, Vietnam",13.968848,108.017617,46,46,45.0,19.0,113.0,5.0,43.0,23.0,86.9,925.6,2.0,Tốt
2025-05-06 20:00:00,"Nha Trang, Vietnam",12.284358,109.192524,40,40,27.0,7.0,12.0,11.0,,30.0,70.0,1008.0,1.2,Tốt
2025-05-08 12:00:00,"Vũng Tàu/Tiểu học Tóc Tiên - TX.Phú Mỹ, Vietnam",10.589853,107.131743,55,32,55.0,3.0,4.0,8.0,4.0,35.0,53.0,1007.0,5.6,Trung bình
2025-05-08 12:00:00,"Vũng Tàu/Ngã tư Giếng nước - Tp.Vũng Tàu, Vietnam",10.367976,107.0844,14,14,10.0,2.0,2.0,7.0,3.0,34.6,58.3,1006.8,4.0,Tốt
2025-05-08 13:00:00,"Hà Nội/TT giao lưu văn hóa phố cổ - Hoàn Kiếm, Vietnam",21.035584,105.852771,55,55,21.0,0.1,17.1,,,35.0,63.0,1001.5,3.0,Trung bình
2025-05-08 13:00:00,"Hà Nội/Chi cục BVMT, Vietnam",21.01525,105.80013,92,92,,0.1,,,,35.0,63.0,1002.0,3.0,Trung bình
2025-05-08 13:00:00,"Bắc Ninh/UBND_xã Xuân Lâm, Vietnam",21.0243474,106.0172877,126,126,73.0,2.0,,102.0,,35.0,63.0,1002.0,3.0,Không tốt cho nhóm nhạy cảm
2025-05-08 13:00:00,"Hà Nội/UBND xã An Khánh - Hoài Đức, Vietnam",21.002383,105.718038,71,71,24.0,0.1,11.6,,,35.0,63.0,1001.5,3.0,Trung bình
2025-05-08 13:00:00,"Hà Nội/Mầm non Vân Hà – Đông Anh, Vietnam",21.148273,105.913306,71,71,25.0,0.1,6.5,,,35.0,63.0,1001.5,3.0,Trung bình
2025-05-08 13:00:00,"Bắc Ninh/Phù Xá - Văn Môn, Vietnam",21.1638526,105.9235646,12,12,9.0,1.0,,1.0,130.0,33.5,68.0,1003.0,3.6,Tốt
2025-05-08 13:00:00,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",21.593151,105.8431043,86,86,50.0,2.0,,,3.0,33.5,68.0,1003.0,3.6,Trung bình
2025-05-08 13:00:00,"Lạng Sơn/phường Chi Lăng - TP Lạng Sơn, Vietnam",21.843325,106.7506,-,16,9.0,1.0,,25.0,9.0,29.0,78.1,974.5,2.0,Không xác định
2025-05-08 13:00:00,"Viet Tri, Vietnam (Tp Việt Trì)",21.33847,105.3673,54,54,33.0,13.0,18.0,172.0,15.0,33.5,68.0,1003.0,3.6,Trung bình
2025-04-24 07:00:00,"Ninh Bình/Cúc Phương, Đông Phong, Nho Quan - KTTV - Trạm cảm biến, Vietnam",20.320741,105.745489,66,66,40.0,100.0,11.0,1.0,2.0,27.0,83.0,1008.0,3.0,Trung bình
2025-05-06 10:00:00,"Thanh Hoá/UBND P. Lam Sơn, TX. Bỉm Sơn, Vietnam",19.91053,105.4039,14,14,11.0,5.0,,1.0,22.0,27.4,88.9,1006.2,1.0,Tốt
2025-05-08 12:00:00,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",16.46226,107.596351,23,23,19.0,3.0,6.0,5.0,26.0,35.5,53.0,1004.0,4.1,Tốt
2025-05-08 13:00:00,"Da Nang, Vietnam (TP Đà Nẵng)",16.074,108.217,39,39,26.0,3.0,19.0,,,34.0,59.0,1005.0,4.3,Tốt
2025-04-24 09:00:00,"Gia Lai/Phù Đổng, Thành phố Pleiku - KTTV - Trạm cảm biến, Vietnam",13.968848,108.017617,46,46,45.0,19.0,113.0,5.0,43.0,23.0,86.9,925.6,2.0,Tốt
2025-05-06 20:00:00,"Nha Trang, Vietnam",12.284358,109.192524,40,40,27.0,7.0,12.0,11.0,,30.0,70.0,1008.0,1.2,Tốt
2025-05-08 13:00:00,"Vũng Tàu/Tiểu học Tóc Tiên - TX.Phú Mỹ, Vietnam",10.589853,107.131743,51,30,51.0,2.0,5.0,9.0,4.0,34.0,56.0,1006.0,4.6,Trung bình
2025-05-08 13:00:00,"Vũng Tàu/Ngã tư Giếng nước - Tp.Vũng Tàu, Vietnam",10.367976,107.0844,18,18,12.0,2.0,2.0,18.0,3.0,34.8,59.0,1005.9,4.0,Tốt
2025-05-08 13:00:00,"Hà Nội/TT giao lưu văn hóa phố cổ - Hoàn Kiếm, Vietnam",21.035584,105.852771,55,55,21.0,0.1,17.1,,,35.0,63.0,1001.5,3.0,Trung bình
2025-05-08 14:00:00,"Hà Nội/Chi cục BVMT, Vietnam",21.01525,105.80013,103,103,,0.1,,,,35.0,63.0,1001.0,4.1,Không tốt cho nhóm nhạy cảm
2025-05-08 14:00:00,"Bắc Ninh/UBND_xã Xuân Lâm, Vietnam",21.0243474,106.0172877,122,122,70.0,2.0,,96.0,,35.0,63.0,1001.0,4.1,Không tốt cho nhóm nhạy cảm
2025-05-08 13:00:00,"Hà Nội/UBND xã An Khánh - Hoài Đức, Vietnam",21.002383,105.718038,71,71,24.0,0.1,11.6,,,35.0,63.0,1001.5,3.0,Trung bình
2025-05-08 13:00:00,"Hà Nội/Mầm non Vân Hà – Đông Anh, Vietnam",21.148273,105.913306,71,71,25.0,0.1,6.5,,,35.0,63.0,1001.5,3.0,Trung bình
2025-05-08 14:00:00,"Bắc Ninh/Phù Xá - Văn Môn, Vietnam",21.1638526,105.9235646,-,11,8.0,1.0,,1.0,135.0,35.0,63.0,1001.5,3.0,Không xác định
2025-05-08 14:00:00,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",21.593151,105.8431043,61,61,51.0,2.0,,,3.0,35.0,63.0,1001.0,4.1,Trung bình
2025-05-08 14:00:00,"Lạng Sơn/phường Chi Lăng - TP Lạng Sơn, Vietnam",21.843325,106.7506,-,16,9.0,1.0,,27.0,10.0,32.6,62.8,972.0,1.0,Không xác định
2025-05-08 14:00:00,"Viet Tri, Vietnam (Tp Việt Trì)",21.33847,105.3673,53,53,32.0,13.0,16.0,176.0,15.0,35.0,63.0,1001.5,3.0,Trung bình
2025-04-24 07:00:00,"Ninh Bình/Cúc Phương, Đông Phong, Nho Quan - KTTV - Trạm cảm biến, Vietnam",20.320741,105.745489,66,66,40.0,100.0,11.0,1.0,2.0,27.0,83.0,1008.0,3.0,Trung bình
2025-05-06 10:00:00,"Thanh Hoá/UBND P. Lam Sơn, TX. Bỉm Sơn, Vietnam",19.91053,105.4039,14,14,11.0,5.0,,1.0,22.0,27.4,88.9,1006.2,1.0,Tốt
2025-05-08 13:00:00,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",16.46226,107.596351,22,22,18.0,3.0,6.0,5.0,26.0,35.0,53.0,1003.0,4.3,Tốt
2025-05-08 14:00:00,"Da Nang, Vietnam (TP Đà Nẵng)",16.074,108.217,35,35,23.0,3.0,19.0,,,33.0,66.0,1003.0,4.6,Tốt
2025-04-24 09:00:00,"Gia Lai/Phù Đổng, Thành phố Pleiku - KTTV - Trạm cảm biến, Vietnam",13.968848,108.017617,46,46,45.0,19.0,113.0,5.0,43.0,23.0,86.9,925.6,2.0,Tốt
2025-05-06 20:00:00,"Nha Trang, Vietnam",12.284358,109.192524,40,40,27.0,7.0,12.0,11.0,,30.0,70.0,1008.0,1.2,Tốt
2025-05-08 14:00:00,"Vũng Tàu/Tiểu học Tóc Tiên - TX.Phú Mỹ, Vietnam",10.589853,107.131743,51,31,51.0,2.0,10.0,9.0,4.0,34.0,52.0,1005.0,5.6,Trung bình
2025-05-08 14:00:00,"Vũng Tàu/Ngã tư Giếng nước - Tp.Vũng Tàu, Vietnam",10.367976,107.0844,19,19,12.0,2.0,2.0,21.0,3.0,34.4,60.0,1004.7,6.0,Tốt
2025-05-08 15:00:00,"Hà Nội/TT giao lưu văn hóa phố cổ - Hoàn Kiếm, Vietnam",21.035584,105.852771,-,49,18.0,0.1,16.2,,,36.0,63.0,1000.0,4.6,Không xác định
2025-05-08 15:00:00,"Hà Nội/Chi cục BVMT, Vietnam",21.01525,105.80013,100,100,,0.1,,,,36.0,63.0,1000.0,4.1,Trung bình
2025-05-08 15:00:00,"Bắc Ninh/UBND_xã Xuân Lâm, Vietnam",21.0243474,106.0172877,118,118,68.0,2.0,,90.0,,35.5,63.0,1000.5,4.3,Không tốt cho nhóm nhạy cảm
2025-05-08 15:00:00,"Hà Nội/UBND xã An Khánh - Hoài Đức, Vietnam",21.002383,105.718038,65,65,23.0,0.1,12.3,,,36.0,63.0,1000.0,4.6,Trung bình
2025-05-08 15:00:00,"Hà Nội/Mầm non Vân Hà – Đông Anh, Vietnam",21.148273,105.913306,59,59,20.0,0.1,5.8,,,36.0,63.0,1000.0,4.6,Trung bình
2025-05-08 15:00:00,"Bắc Ninh/Phù Xá - Văn Môn, Vietnam",21.1638526,105.9235646,-,10,8.0,1.0,,1.0,135.0,36.0,63.0,1000.0,4.1,Không xác định
2025-05-08 15:00:00,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",21.593151,105.8431043,52,39,52.0,2.0,,,3.0,36.0,63.0,1000.0,4.1,Trung bình
2025-05-08 15:00:00,"Lạng Sơn/phường Chi Lăng - TP Lạng Sơn, Vietnam",21.843325,106.7506,-,16,9.0,1.0,,28.0,9.0,32.6,62.8,972.0,1.0,Không xác định
2025-05-08 15:00:00,"Viet Tri, Vietnam (Tp Việt Trì)",21.33847,105.3673,53,53,32.0,13.0,16.0,178.0,15.0,36.0,63.0,1000.0,4.1,Trung bình
2025-04-24 07:00:00,"Ninh Bình/Cúc Phương, Đông Phong, Nho Quan - KTTV - Trạm cảm biến, Vietnam",20.320741,105.745489,66,66,40.0,100.0,11.0,1.0,2.0,27.0,83.0,1008.0,3.0,Trung bình
2025-05-06 10:00:00,"Thanh Hoá/UBND P. Lam Sơn, TX. Bỉm Sơn, Vietnam",19.91053,105.4039,14,14,11.0,5.0,,1.0,22.0,27.4,88.9,1006.2,1.0,Tốt
2025-05-08 14:00:00,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",16.46226,107.596351,26,26,21.0,3.0,6.0,4.0,26.0,35.0,51.0,1003.0,4.1,Tốt
2025-05-08 15:00:00,"Da Nang, Vietnam (TP Đà Nẵng)",16.074,108.217,33,33,22.0,3.0,19.0,,,32.0,74.0,1003.0,4.1,Tốt
2025-04-24 09:00:00,"Gia Lai/Phù Đổng, Thành phố Pleiku - KTTV - Trạm cảm biến, Vietnam",13.968848,108.017617,46,46,45.0,19.0,113.0,5.0,43.0,23.0,86.9,925.6,2.0,Tốt
2025-05-06 20:00:00,"Nha Trang, Vietnam",12.284358,109.192524,40,40,27.0,7.0,12.0,11.0,,30.0,70.0,1008.0,1.2,Tốt
2025-05-08 15:00:00,"Vũng Tàu/Tiểu học Tóc Tiên - TX.Phú Mỹ, Vietnam",10.589853,107.131743,54,33,54.0,2.0,14.0,8.0,3.0,35.0,49.0,1004.0,5.6,Trung bình
2025-05-08 15:00:00,"Vũng Tàu/Ngã tư Giếng nước - Tp.Vũng Tàu, Vietnam",10.367976,107.0844,20,20,14.0,2.0,2.0,20.0,3.0,35.2,57.5,1004.0,4.0,Tốt
2025-05-08 15:00:00,"Hà Nội/TT giao lưu văn hóa phố cổ - Hoàn Kiếm, Vietnam",21.035584,105.852771,-,49,18.0,0.1,16.2,,,36.0,63.0,1000.0,4.6,Không xác định
2025-05-08 16:00:00,"Hà Nội/Chi cục BVMT, Vietnam",21.01525,105.80013,92,92,,0.1,,,,36.0,63.0,999.0,5.6,Trung bình
2025-05-08 16:00:00,"Bắc Ninh/UBND_xã Xuân Lâm, Vietnam",21.0243474,106.0172877,114,114,68.0,2.0,,83.0,,36.0,63.0,1000.0,4.6,Không tốt cho nhóm nhạy cảm
2025-05-08 15:00:00,"Hà Nội/UBND xã An Khánh - Hoài Đức, Vietnam",21.002383,105.718038,65,65,23.0,0.1,12.3,,,36.0,63.0,1000.0,4.6,Trung bình
2025-05-08 15:00:00,"Hà Nội/Mầm non Vân Hà – Đông Anh, Vietnam",21.148273,105.913306,59,59,20.0,0.1,5.8,,,36.0,63.0,1000.0,4.6,Trung bình
2025-05-08 16:00:00,"Bắc Ninh/Phù Xá - Văn Môn, Vietnam",21.1638526,105.9235646,10,10,8.0,1.0,,1.0,135.0,36.0,63.0,999.0,5.6,Tốt
2025-05-08 16:00:00,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",21.593151,105.8431043,-,37,52.0,2.0,,,3.0,36.0,63.0,1000.0,4.6,Không xác định
2025-05-08 16:00:00,"Lạng Sơn/phường Chi Lăng - TP Lạng Sơn, Vietnam",21.843325,106.7506,-,16,9.0,1.0,,32.0,9.0,32.6,62.8,972.0,1.0,Không xác định
2025-05-08 16:00:00,"Viet Tri, Vietnam (Tp Việt Trì)",21.33847,105.3673,53,53,32.0,13.0,18.0,150.0,16.0,36.0,63.0,999.0,5.6,Trung bình
2025-04-24 07:00:00,"Ninh Bình/Cúc Phương, Đông Phong, Nho Quan - KTTV - Trạm cảm biến, Vietnam",20.320741,105.745489,66,66,40.0,100.0,11.0,1.0,2.0,27.0,83.0,1008.0,3.0,Trung bình
2025-05-06 10:00:00,"Thanh Hoá/UBND P. Lam Sơn, TX. Bỉm Sơn, Vietnam",19.91053,105.4039,14,14,11.0,5.0,,1.0,22.0,27.4,88.9,1006.2,1.0,Tốt
2025-05-08 15:00:00,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",16.46226,107.596351,31,31,23.0,6.0,6.0,4.0,26.0,33.0,59.0,1003.0,3.8,Tốt
2025-05-08 16:00:00,"Da Nang, Vietnam (TP Đà Nẵng)",16.074,108.217,29,29,19.0,4.0,19.0,,,30.0,79.0,1004.0,1.5,Tốt
2025-04-24 09:00:00,"Gia Lai/Phù Đổng, Thành phố Pleiku - KTTV - Trạm cảm biến, Vietnam",13.968848,108.017617,46,46,45.0,19.0,113.0,5.0,43.0,23.0,86.9,925.6,2.0,Tốt
2025-05-06 20:00:00,"Nha Trang, Vietnam",12.284358,109.192524,40,40,27.0,7.0,12.0,11.0,,30.0,70.0,1008.0,1.2,Tốt
2025-05-08 16:00:00,"Vũng Tàu/Tiểu học Tóc Tiên - TX.Phú Mỹ, Vietnam",10.589853,107.131743,60,37,60.0,1.0,9.0,8.0,3.0,35.0,53.0,1004.0,4.6,Trung bình
2025-05-08 16:00:00,"Vũng Tàu/Ngã tư Giếng nước - Tp.Vũng Tàu, Vietnam",10.367976,107.0844,19,19,15.0,1.0,2.0,19.0,3.0,35.4,57.7,1003.8,3.2,Tốt
2025-05-08 17:00:00,"Hà Nội/TT giao lưu văn hóa phố cổ - Hoàn Kiếm, Vietnam",21.035584,105.852771,47,47,18.0,0.1,20.2,,,34.0,66.0,999.5,5.9,Tốt
2025-05-08 17:00:00,"Hà Nội/Chi cục BVMT, Vietnam",21.01525,105.80013,93,93,,0.1,,,,34.0,66.0,999.0,5.6,Trung bình
2025-05-08 17:00:00,"Bắc Ninh/UBND_xã Xuân Lâm, Vietnam",21.0243474,106.0172877,111,111,69.0,3.0,,68.0,,34.0,66.0,999.0,5.6,Không tốt cho nhóm nhạy cảm
2025-05-08 16:00:00,"Hà Nội/UBND xã An Khánh - Hoài Đức, Vietnam",21.002383,105.718038,65,65,23.0,0.1,11.6,,,35.5,65.0,999.0,5.6,Trung bình
2025-05-08 17:00:00,"Hà Nội/Mầm non Vân Hà – Đông Anh, Vietnam",21.148273,105.913306,62,62,24.0,0.1,4.2,,,34.0,66.0,999.5,5.9,Trung bình
2025-05-08 17:00:00,"Bắc Ninh/Phù Xá - Văn Môn, Vietnam",21.1638526,105.9235646,10,10,8.0,1.0,,1.0,135.0,35.5,65.0,999.0,5.6,Tốt
2025-05-08 17:00:00,"Thái nguyên/Đường Hùng Vương - Tp Thái Nguyên, Vietnam",21.593151,105.8431043,65,65,54.0,3.0,,,3.0,35.5,65.0,999.0,5.6,Trung bình
2025-05-08 17:00:00,"Lạng Sơn/phường Chi Lăng - TP Lạng Sơn, Vietnam",21.843325,106.7506,-,16,9.0,1.0,,34.0,9.0,34.4,56.8,969.5,2.0,Không xác định
2025-05-08 17:00:00,"Viet Tri, Vietnam (Tp Việt Trì)",21.33847,105.3673,54,54,33.0,13.0,18.0,150.0,15.0,35.5,65.0,999.0,5.6,Trung bình
2025-04-24 07:00:00,"Ninh Bình/Cúc Phương, Đông Phong, Nho Quan - KTTV - Trạm cảm biến, Vietnam",20.320741,105.745489,66,66,40.0,100.0,11.0,1.0,2.0,27.0,83.0,1008.0,3.0,Trung bình
2025-05-06 10:00:00,"Thanh Hoá/UBND P. Lam Sơn, TX. Bỉm Sơn, Vietnam",19.91053,105.4039,14,14,11.0,5.0,,1.0,22.0,27.4,88.9,1006.2,1.0,Tốt
2025-05-08 16:00:00,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",16.46226,107.596351,49,49,36.0,11.0,6.0,4.0,26.0,32.0,58.5,1003.0,2.3,Tốt
2025-05-08 17:00:00,"Da Nang, Vietnam (TP Đà Nẵng)",16.074,108.217,24,24,16.0,3.0,19.0,,,30.0,79.0,1005.0,2.0,Tốt
2025-04-24 09:00:00,"Gia Lai/Phù Đổng, Thành phố Pleiku - KTTV - Trạm cảm biến, Vietnam",13.968848,108.017617,46,46,45.0,19.0,113.0,5.0,43.0,23.0,86.9,925.6,2.0,Tốt
2025-05-06 20:00:00,"Nha Trang, Vietnam",12.284358,109.192524,40,40,27.0,7.0,12.0,11.0,,30.0,70.0,1008.0,1.2,Tốt
2025-05-08 17:00:00,"Vũng Tàu/Tiểu học Tóc Tiên - TX.Phú Mỹ, Vietnam",10.589853,107.131743,59,38,59.0,3.0,10.0,7.0,5.0,35.0,56.0,1004.0,4.6,Trung bình
2025-05-08 17:00:00,"Vũng Tàu/Ngã tư Giếng nước - Tp.Vũng Tàu, Vietnam",10.367976,107.0844,19,19,15.0,2.0,2.0,12.0,3.0,32.7,66.0,1004.2,6.0,Tốt
